연월,pop_충주
2011년 01월,208467 
2011년 02월,208284 
2011년 03월,208229 
2011년 04월,208242 
2011년 05월,208375 
2011년 06월,208233 
2011년 07월,208261 
2011년 08월,208236 
2011년 09월,208460 
2011년 10월,208391 
2011년 11월,208460 
2011년 12월,208433 
2012년 01월,208345 
2012년 02월,208266 
2012년 03월,208218 
2012년 04월,208488 
2012년 05월,208419 
2012년 06월,208388 
2012년 07월,208423 
2012년 08월,208401 
2012년 09월,208404 
2012년 10월,208475 
2012년 11월,208479 
2012년 12월,208447 
2013년 01월,208426 
2013년 02월,208377 
2013년 03월,208189 
2013년 04월,208215 
2013년 05월,208154 
2013년 06월,208202 
2013년 07월,208138 
2013년 08월,208083 
2013년 09월,207989 
2013년 10월,208119 
2013년 11월,208141 
2013년 12월,208115 
2014년 01월,208178 
2014년 02월,208119 
2014년 03월,207878 
2014년 04월,208156 
2014년 05월,208213 
2014년 06월,208243 
2014년 07월,208389 
2014년 08월,208473 
2014년 09월,208596 
2014년 10월,208636 
2014년 11월,208676 
2014년 12월,208527 
2015년 01월,208529 
2015년 02월,208394 
2015년 03월,208220 
2015년 04월,208096 
2015년 05월,208163 
2015년 06월,208173 
2015년 07월,208138 
2015년 08월,208181 
2015년 09월,208099 
2015년 10월,208080 
2015년 11월,208026 
2015년 12월,207913 
2016년 01월,207762 
2016년 02월,207617 
2016년 03월,207803 
2016년 04월,207835 
2016년 05월,207982 
2016년 06월,208034 
2016년 07월,208119 
2016년 08월,208183 
2016년 09월,208175 
2016년 10월,208234 
2016년 11월,208366 
2016년 12월,208350 
2017년 01월,208288 
2017년 02월,208197 
2017년 03월,208116 
2017년 04월,208158 
2017년 05월,208146 
2017년 06월,208160 
2017년 07월,208147 
2017년 08월,208139 
2017년 09월,208150 
2017년 10월,208163 
2017년 11월,208047 
2017년 12월,208316 
2018년 01월,208539 
2018년 02월,208999 
2018년 03월,209306 
2018년 04월,209491 
2018년 05월,209695 
2018년 06월,209940 
2018년 07월,210024 
2018년 08월,210153 
2018년 09월,210174 
2018년 10월,210348 
2018년 11월,210490 
2018년 12월,210504 
2019년 01월,210548 
2019년 02월,210662 
2019년 03월,210555 
2019년 04월,210463 
2019년 05월,210417 
2019년 06월,210397 
2019년 07월,210353 
2019년 08월,210410 
2019년 09월,210504 
2019년 10월,210670 
2019년 11월,210826 
2019년 12월,210737 
2020년 01월,210806 
2020년 02월,210643 
2020년 03월,210423 
2020년 04월,210188 
2020년 05월,210190 
2020년 06월,210173 
2020년 07월,210228 
2020년 08월,210304 
2020년 09월,210299 
2020년 10월,210246 
2020년 11월,210313 
2020년 12월,210186 
2021년 01월,210139 
2021년 02월,210058 
2021년 03월,209443 
2021년 04월,209434 
2021년 05월,209483 
2021년 06월,209638 
2021년 07월,209602 
2021년 08월,209546 
2021년 09월,209438 
2021년 10월,209499 
2021년 11월,209484 
2021년 12월,209358 
2022년 01월,209368 
2022년 02월,209159 
2022년 03월,208946 
2022년 04월,208865 
2022년 05월,208744 
2022년 06월,208728 
2022년 07월,208725 
2022년 08월,208604 
2022년 09월,208487 
2022년 10월,208415 
2022년 11월,208346 
2022년 12월,208277 
2023년 01월,208149 
2023년 02월,208046 
2023년 03월,208001 
2023년 04월,207993 
2023년 05월,207974 
2023년 06월,207893 
2023년 07월,207950 
2023년 08월,207998 
2023년 09월,207943 
2023년 10월,207892 
2023년 11월,207839 
2023년 12월,207778 
2024년 01월,207761 
2024년 02월,207668 
2024년 03월,207550 
2024년 04월,207568 
2024년 05월,207496 
2024년 06월,207468 
2024년 07월,207346 
2024년 08월,207209 
2024년 09월,207369 
2024년 10월,207318 
2024년 11월,207324 
2024년 12월,207241 
2025년 01월,207230 
2025년 02월,207280 
2025년 03월,207122 
2025년 04월,207081 
2025년 05월,206952 
